Service numérique,Consommation énergétique (kWh),Nombre d'utilisateurs,Type d'énergie utilisée,Pays,Émission de CO2 (kg),Catégorie d'empreinte carbone
Email,0.015132776451470476,0.8055039172826235,Renouvelable,UK,25.480042673781995,faible
E-commerce,0.4233496040688514,0.9024419614739058,Renouvelable,UK,429.1674658993059,faible
Webinaire,0.39479804492015397,0.8278687453497912,Renouvelable,Canada,400.932702993814,faible
Stockage de fichiers,0.29329237008325526,0.1796021461775359,Non-renouvelable,UK,751.3832324271443,moyenne
Jeux en ligne,0.013574467921317727,0.3197114171635098,Renouvelable,Canada,23.93902448793361,faible
Email,0.19854174355714088,0.7799249292203289,Non-renouvelable,UK,517.1349501197928,moyenne
Streaming audio,0.7116090788118729,0.868372026354182,Renouvelable,USA,714.2285332211635,moyenne
Réseaux sociaux,0.7905300045335288,0.5504612866410319,Renouvelable,UK,792.2737851258936,moyenne
Email,0.6061103505474015,0.40529878037625455,Renouvelable,Canada,609.9003750332013,moyenne
Webinaire,0.926806152681911,0.4613147860406386,Non-renouvelable,Allemagne,2317.5946743205386,élevée
Webinaire,0.6512773854227931,0.920523320250595,Renouvelable,UK,654.566255246925,moyenne
Stockage de fichiers,0.9154523850514903,0.9356410096097111,Renouvelable,Allemagne,915.810078788343,moyenne
Jeux en ligne,0.8504593626897184,0.010855529860949585,Non-renouvelable,USA,2128.845480029753,élevée
E-commerce,0.4494276568096873,0.14608807497991147,Renouvelable,France,454.9561673968214,faible
Stockage de fichiers,0.09499486567953515,0.6891665237637354,Non-renouvelable,USA,261.140038313768,faible
Stockage de fichiers,0.3707081197977121,0.7227845304578248,Non-renouvelable,UK,942.7751741907092,moyenne
Réseaux sociaux,0.669061293167741,0.16254124500250186,Renouvelable,Allemagne,672.1528401369712,moyenne
Cloud computing,0.6661391633430813,0.07185179481725748,Non-renouvelable,Allemagne,1673.1578326283043,élevée
Jeux en ligne,0.5914319195705007,0.7438269451869923,Renouvelable,Canada,595.3848098306498,moyenne
Recherche sur internet,0.27450519750774294,0.3698312445381092,Non-renouvelable,Allemagne,704.9364376504088,moyenne
Stockage de fichiers,0.561344261166455,0.33000987688770084,Non-renouvelable,Canada,1414.0774789730604,élevée
Éducation en ligne,0.38283015722079516,0.40398058878956156,Renouvelable,France,389.09760600625197,faible
Cloud computing,0.9722676796121176,0.10801591962107168,Non-renouvelable,UK,2429.9874360880317,élevée
Recherche sur internet,0.8493333630771529,0.02621928701053568,Non-renouvelable,Canada,2126.0617150585576,élevée
Éducation en ligne,0.7220081553789143,0.9694487940768426,Non-renouvelable,France,1811.2805648830613,élevée
Jeux en ligne,0.23572540856571017,0.7010471350492005,Non-renouvelable,Allemagne,609.0626763786655,moyenne
Streaming vidéo,0.25583106152354657,0.43973902339634263,Non-renouvelable,Allemagne,658.7690988342769,moyenne
Éducation en ligne,0.0399574314836007,0.8693691638057599,Renouvelable,France,50.02925364304704,faible
Streaming audio,0.710929263430486,0.3019287975507409,Non-renouvelable,Allemagne,1783.890651972324,élevée
Cloud computing,0.11049272072121649,0.9148380284903881,Renouvelable,France,119.78191260371302,faible
Éducation en ligne,0.4393022792758061,0.13462943778937841,Non-renouvelable,Canada,1112.357842117781,élevée
Applications de messagerie,0.20142172894308624,0.49352111951194944,Renouvelable,Canada,209.70201031204226,faible
Streaming vidéo,0.8962350382808907,0.6280281265134224,Renouvelable,France,896.8059597167842,moyenne
Webinaire,0.4753759215325288,0.02020389450527005,Non-renouvelable,Canada,1201.5413023757267,élevée
Webinaire,0.5633786586636191,0.24602456777810633,Non-renouvelable,Canada,1419.1070406415495,élevée
Streaming audio,0.6957656793719575,0.9801264072755651,Non-renouvelable,Canada,1746.4023139046656,élevée
Éducation en ligne,0.1389648630464334,0.9800512198951437,Renouvelable,USA,147.93813986181692,faible
Éducation en ligne,0.6045660460377305,0.8237123306700783,Non-renouvelable,UK,1520.9330137125976,élevée
Réseaux sociaux,0.5399182154607073,0.5369329861311448,Renouvelable,Allemagne,544.4426803886564,moyenne
Éducation en ligne,0.2027652381385559,0.7352316605615451,Renouvelable,USA,211.0306124874217,faible
Email,0.9433771830776243,0.3139901399993044,Renouvelable,Canada,943.4250348524013,moyenne
E-commerce,0.5990079824105295,0.17892586182529627,Non-renouvelable,France,1507.1920295591267,élevée
Applications de messagerie,0.6950337159573254,0.49617036897503314,Non-renouvelable,Canada,1744.5927092732688,élevée
Réseaux sociaux,0.8809223358016777,0.9042973206554811,Renouvelable,UK,881.6631606251051,moyenne
Jeux en ligne,0.6245248022757397,0.1308616252656939,Renouvelable,Canada,628.1105076524553,moyenne
Réseaux sociaux,0.2954402581659082,0.07261070487365003,Non-renouvelable,France,756.6933724483421,moyenne
Email,0.10509018101247086,0.15573718914591758,Renouvelable,UK,114.4393172319679,faible
Jeux en ligne,0.4565194012420551,0.09727317083075421,Non-renouvelable,Canada,1154.9230619452028,élevée
Applications de messagerie,0.21816148890038067,0.876803466821759,Renouvelable,UK,226.25603284466524,faible
Email,0.4164504362603436,0.8256945434266426,Non-renouvelable,Allemagne,1055.8621209791563,élevée
